0; Zero
AMARC.FORNO.PID.TT314.TIPO; Selettore tipologia operatore (0=PI; 1=PID)
AMARC.FORNO.PID.TT314.TN; Tolleranza negativa su set point
AMARC.FORNO.PID.TT314.TP; Tolleranza positiva su set point
AMARC.FORNO.POTENZA_CANNA_SING; Pot. richiesta inf. a min. tecn. 2 canne
AMARC.FORNO.POTENZA_INF_MINIM; Pot. richiesta inf. a minimo tecnico
AMARC.FORNO.POTENZA_INSUFFICIENTE; Potenza forno non sufficiente
AMARC.FORNO.RATIO_CURVE.AIR.FLOWRATE_1; Punto 1 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.FLOWRATE_10; Punto 10 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.FLOWRATE_11; Punto 11 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.FLOWRATE_12; Punto 12 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.FLOWRATE_13; Punto 13 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.FLOWRATE_14; Punto 14 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.FLOWRATE_15; Punto 15 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.FLOWRATE_16; Punto 16 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.FLOWRATE_17; Punto 17 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.FLOWRATE_18; Punto 18 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.FLOWRATE_19; Punto 19 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.FLOWRATE_2; Punto 2 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.FLOWRATE_20; Punto 20 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.FLOWRATE_21; Punto 21 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.FLOWRATE_3; Punto 3 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.FLOWRATE_4; Punto 4 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.FLOWRATE_5; Punto 5 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.FLOWRATE_6; Punto 6 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.FLOWRATE_7; Punto 7 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.FLOWRATE_8; Punto 8 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.FLOWRATE_9; Punto 9 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.NUMBER; Numero punti curva aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.SIGNAL_1; Punto 1 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.SIGNAL_10; Punto 10 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.SIGNAL_11; Punto 11 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.SIGNAL_12; Punto 12 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.SIGNAL_13; Punto 13 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.SIGNAL_14; Punto 14 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.SIGNAL_15; Punto 15 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.SIGNAL_16; Punto 16 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.SIGNAL_17; Punto 17 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.SIGNAL_18; Punto 18 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.SIGNAL_19; Punto 19 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.SIGNAL_2; Punto 2 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.SIGNAL_20; Punto 20 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.SIGNAL_21; Punto 21 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.SIGNAL_3; Punto 3 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.SIGNAL_4; Punto 4 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.SIGNAL_5; Punto 5 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.SIGNAL_6; Punto 6 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.SIGNAL_7; Punto 7 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.SIGNAL_8; Punto 8 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.AIR.SIGNAL_9; Punto 9 segnale curva caratteristica aria comburente
